Part no./SKU,Brand,Name,Descrption,MRP,Category,Sub Category,Class,Make,Model,Year,Engine,Power (hp),Fuel type,Engine type,Date,Part Type
96610-C7000,Hyundai/Kia,,HORN ASSY-LOW PITCH,553,Electrical Components,Horn,,Hyundai,I20 ACTIVE 2ND GEN 1.2L,03.2015 - 03.2018,1.2 L,83 h.p.,Petrol,G4LA,18/10/2023,
96610-C7000,Hyundai/Kia,,HORN ASSY-LOW PITCH,553,Electrical Components,Horn,,Hyundai,I20 ACTIVE 2ND GEN 1.4L,03.2015 - 03.2018,1.4 L,90 h.p.,Diesel,D4FC,,
96610-C7000,Hyundai/Kia,,HORN ASSY-LOW PITCH,553,Electrical Components,Horn,,Hyundai,I20 ELITE 2ND GEN 1.2L,08.2014 - 02.2018,1.2 L,83 h.p.,Petrol,G4LA,,
96610-C7000,Hyundai/Kia,,HORN ASSY-LOW PITCH,553,Electrical Components,Horn,,Hyundai,I20 ELITE 2ND GEN 1.4L,08.2014 - 02.2018,1.4 L,90 h.p.,Diesel,D4FC,,
96610-0X500,Hyundai/Kia,,HORN ASSY-LOW PITCH,552,Electrical Components,Horn,,Hyundai,I10 1ST GEN F/L 1.1L,08.2010 - 08.2013,1.1 L,69 h.p.,Petrol,G4HG,,
96610-0X500,Hyundai/Kia,,HORN ASSY-LOW PITCH,552,Electrical Components,Horn,,Hyundai,I10 1ST GEN F/L 1.2L,08.2010 - 08.2013,1.2 L,86 h.p.,Petrol,G4LA,,
96651-BV000,Hyundai/Kia,,HORN ASSY-HIGH PITCH,1568,Electrical Components,Horn,,Hyundai,ALCAZAR 1ST GEN 2.0L 7S,06.2021 - 02.2023,2 L,159 h.p.,Petrol,DOHC-MPI,,
96651-BV000,Hyundai/Kia,,HORN ASSY-HIGH PITCH,1568,Electrical Components,Horn,,Hyundai,ALCAZAR 1ST GEN 1.5L 7S,06.2021 - 02.2023,1.5 L,115 h.p.,Diesel,DOHC-TCI,,
96651-BV000,Hyundai/Kia,,HORN ASSY-HIGH PITCH,1568,Electrical Components,Horn,,Hyundai,ALCAZAR 1ST GEN 2.0L 6S AT,06.2021 - 02.2023,2 L,159 h.p.,Petrol,DOHC-MPI,,
96651-BV000,Hyundai/Kia,,HORN ASSY-HIGH PITCH,1568,Electrical Components,Horn,,Hyundai,ALCAZAR 1ST GEN 1.5L 7S AT,06.2021 - 02.2023,1.5 L,115 h.p.,Diesel,DOHC-TCI,,
96651-BV000,Hyundai/Kia,,HORN ASSY-HIGH PITCH,1568,Electrical Components,Horn,,Hyundai,ALCAZAR 1ST GEN 1.5L 6S AT,06.2021 - 02.2023,1.5 L,115 h.p.,Diesel,DOHC-TCI,,
96651-BV000,Hyundai/Kia,,HORN ASSY-HIGH PITCH,1568,Electrical Components,Horn,,Hyundai,ALCAZAR 1ST GEN 1.5L 6S,06.2021 - 02.2023,1.5 L,115 h.p.,Diesel,DOHC-TCI,,
