PurchaseOrderId,product_name,purchase_count,purchase_dummy
15791,Plug Wire,1,1
15790,Air Filter,1,1
15936,Bracket,1,1
15936,Radiator Support Lower,1,1
15794,Alternator Belt,1,1
15793,Air Filter,1,1
15797,Air Filter,1,1
15796,Air Filter,1,1
15795,Air Filter,1,1
15808,Fender Liner - L/H Front,1,1
15808,Fender Liner - R/H Front,1,1
15800,Belt,1,1
15806,Wind Shield - Front,1,1
15805,Front Brake pad,1,1
15802,Cam Shaft Oil Seal,1,1
15792,Universal Wiper Blade 16,1,1
15803,Front Brake pad,1,1
15804,Front Brake pad,1,1
15798,Engine Oil - Taxi Special - 5W30 (4L),1,1
15798,Coolant (Green),1,1
15798,Brake Oil,1,1
15799,Oil Filter,1,1
15799,Air Filter,1,1
15799,CV Joint,1,1
15799,Caliper Pin 18%,1,1
15799,Spark Plug Set Of 4,1,1
15799,Front Brake pad,1,1
15799,Front Brake Disc,1,1
15799,Gear Oil,1,1
15799,Front Wheel Bearing,1,1
15799,Tail Lamp Right,1,1
15884,Bumper - Front,1,1
15884,Front Bumper Bracket Right,1,1
15812,Hose Pipe,1,1
15812,Brake Booster,1,1
15855,Splash Guard Front Bumper,1,1
15887,Oil Filter,1,1
15801,Clutch Kit (Disc+Pressure Plate),1,1
15801,Clutch Release Bearing,1,1
15809,Clutch Cable,1,1
15844,Mirror Lens,1,1
15844,Mirror Cap,1,1
15821,Mirror Lens,1,1
15822,Wind Shield - Front,1,1
15822,AC Condenser,1,1
15822,Splash Guard Front Bumper,1,1
15822,Bracket,1,1
15822,Radiator Support Lower,1,1
15822,Radiator Assembly,1,1
15823,Bumper - Front,1,1
15823,Front Fog Lamp Right,1,1
15823,Fan Assembly,1,1
15823,AC Condenser,1,1
15823,Radiator Assembly,1,1
15811,Air Filter,1,1
15815,Bumper - Front,1,1
15814,Clutch Kit (Disc+Pressure Plate+Bearing+FlywheeL),1,1
15814,Clutch Cable,1,1
15892,Clip,1,1
15892,Door Trim Clip,1,1
15843,Bumper - Rear,1,1
15843,Bumper - Front,1,1
15843,Rear Bumper Bracket Right,1,1
15843,Rear Bumper Bracket Left,1,1
15843,Front Bumper Bracket Right,1,1
15843,Front Bumper Bracket Left,1,1
15843,Fender Liner - L/H Front,1,1
15843,Fender Liner - R/H Front,1,1
15820,Bumper - Front,1,1
15820,Bumper Lower Grill,1,1
15820,Splash Guard Front Bumper,1,1
15819,Clutch Release Bearing,1,1
15819,Clutch Kit (Disc+Pressure Plate),1,1
15819,Fly Wheel,1,1
15817,Power Window Regulator Front - RH,1,1
15816,Air Filter,1,1
15816,Mud Flap,1,1
15824,Bumper - Front,1,1
15824,Fog Lamp Set,1,1
15818,Tail Lamp Right,1,1
15832,Head Lamp - L/H,1,1
15825,Wheel Rim,1,1
15865,Bonnet,1,1
15865,Head Lamp - R/H,1,1
15865,Wiper Tank,1,1
15879,Front Bumper Bracket Right,1,1
15859,Latch Assy - Front Door,1,1
15859,Right,1,1
15826,Front Brake pad,1,1
15828,Oil Filter,1,1
15828,Air Filter,1,1
15828,AC Filter,1,1
15828,Rear Brake Shoe,1,1
15836,Oil Filter,1,1
15833,Air Filter,1,1
15835,Air Filter,1,1
15834,Air Filter,1,1
15827,Door Latch,1,1
15829,Oil Filter,1,1
15842,Front Brake pad,1,1
15830,Universal Wiper Blade 12,1,1
15830,Universal Wiper Blade Set (13 - 13),1,1
15830,Universal Wiper Blade 16,1,1
15830,Universal Wiper Blade 17,1,1
15830,Universal Wiper Blade 18,1,1
15830,Universal Wiper Blade 19,1,1
15830,Universal Wiper Blade 20,1,1
15830,Universal Wiper Blade 21,1,1
15830,Universal Wiper Blade 22,1,1
15830,Universal Wiper Blade 24,1,1
15830,Universal Wiper Blade 26,1,1
15837,Shock Absorber (Front) - Left,1,1
15837,Shock Absorber (Front) - Right,1,1
15831,Front Brake pad,1,1
15845,Oil Filter,1,1
15845,Air Filter,1,1
15845,Bulb,1,1
15846,Oil Filter,1,1
15846,Air Filter,1,1
15846,Bulb,1,1
15857,Engine Oil - Taxi Special - 5W30 (209L),1,1
15839,Front Suspension Strut Assembly Right,1,1
15839,Front Suspension Strut Assembly Left,1,1
15840,Bumper - Front,1,1
15840,Front Bumper Bracket Right,1,1
15840,Front Bumper Bracket Left,1,1
15847,Mirror Assy Right,1,1
15847,Bonnet Patti,1,1
15847,Oil Filter,1,1
15847,Air Filter,1,1
15847,AC Filter,1,1
15841,Wheel Rim,1,1
15838,Power Steering Motor Assy,1,1
15848,Water Pump,1,1
15858,Front Suspension Strut Left/Right,1,1
15858,Front Suspension Strut Mount Right,1,1
15858,Front Suspension Strut Mount Left,1,1
15858,Lower Arm Lefts,1,1
15858,Lower Arm Rights,1,1
15858,Link Rod,1,1
15858,Tie Rod End Left/Right,1,1
15858,Stabilizer Bar Bushes,1,1
15858,Wheel Brake Cylinder - L/H Rear,1,1
15858,Wheel Brake Cylinder - R/H Rear,1,1
15858,Drive Shaft Right,1,1
15858,Drive Shaft Left,1,1
15863,Mirror Assy Right,1,1
15869,Ball Joint,1,1
15852,Hose Pipe,1,1
15849,AC Gas,1,1
15850,Timing Belt,1,1
15850,Tensioner Adjuster,1,1
15850,Front Brake pad,1,1
15853,Wheel Brake Cylinder - L/H Rear,1,1
15853,Wheel Brake Cylinder - R/H Rear,1,1
15851,Clutch Release Bearing,1,1
15851,Clutch Kit (Disc+Pressure Plate),1,1
15854,Bumper - Front,1,1
15854,Holder,2,1
15854,Front Bumper Left,1,1
15854,Front Bumper Right,1,1
15854,Bonnet,1,1
15868,Wiper Tank,1,1
15856,Bonnet,1,1
15856,Fender - L/H Front,1,1
15856,Fender - R/H Front,1,1
15856,Bumper - Front,1,1
15856,Bumper - Rear,1,1
15856,Fender Liner - L/H Front,1,1
15856,Fender Liner - R/H Front,1,1
15935,Bumper - Rear,1,1
15966,Mud Flap,1,1
15966,Rear Wheel Arch Cladding Left,1,1
15966,Reflector Assy,1,1
15966,Rear Left,1,1
15966,Tail Lamp Left,1,1
15966,Holder,1,1
15966,Rear Bumper Side Left,1,1
15966,Cap,1,1
15864,Wheel Bearing,1,1
15872,Bumper - Front,1,1
15872,Head Lamp - L/H,1,1
15872,Front Bumper Bracket Right,1,1
15872,Front Bumper Bracket Left,1,1
15872,Panel Assy - Under Cover,1,1
15872,Front,1,1
15872,Bonnet,1,1
15872,Hinges (Bonnet) Right,1,1
15896,Front Wheel Arch Cladding Left,1,1
15896,Front Wheel Arch Cladding Right,1,1
15896,Rear Wheel Arch Cladding Left,1,1
15905,Mirror Assy Left,1,1
15905,Fender indicator assy LH,1,1
15905,Door Handle (ExternaL) Front Left,1,1
15871,Auto Tensioner Assy,1,1
15860,Bumper - Front,1,1
15860,Bumper Grill,1,1
15860,Towing cap,1,1
15867,Bumper - Front,1,1
15875,Hose,1,1
15875,Fuel (Pipe To Engine),1,1
15861,Oil Filter,1,1
15862,Lower Arm Lefts,1,1
15862,Lower Arm Rights,1,1
15862,Spark Plug Set Of 4,1,1
15862,Air Filter,1,1
15862,AC Filter,1,1
15888,Tail Lamp Right,1,1
15866,Bumper - Front,1,1
15866,Front Bumper Bracket Left,1,1
15866,Front Bumper Bracket Right,1,1
15870,Clutch Kit (Disc+Pressure Plate),1,1
15870,Clutch Slave Cylinder,1,1
15873,Link Rod,1,1
15873,Front Suspension Strut Mount,1,1
15873,Front Suspension Strut Left,1,1
15873,Front Suspension Strut Right,1,1
15886,Sensor,1,1
15878,Hose Pipe,1,1
15878,Thermostat Housing,1,1
15876,Clutch Kit (Disc+Pressure Plate),1,1
15876,Clutch Slave Cylinder,1,1
15876,Diesel Filter,1,1
15876,Shock Absorber Plate,1,1
15876,Releaser Bearing,1,1
15877,Clutch Kit (Disc+Pressure Plate),1,1
15877,Clutch Slave Cylinder,1,1
15877,Diesel Filter,1,1
15877,Shock Absorber Plate,1,1
15877,Releaser Bearing,1,1
15900,Door - R/H Front,1,1
15900,Door - R/H Rear,1,1
15900,Quarter Panel - R/H Rear,1,1
15901,Tie Rod End,1,1
15901,Lower Arm,1,1
15901,Front Brake pad,1,1
15901,AC Filter,1,1
15901,Rear Wiper Blade,1,1
15880,Oil Seal,1,1
15880,Gear Lever Knob,1,1
15880,Front Brake pad,1,1
15881,Front Brake Disc,1,1
15882,Front Brake Disc,1,1
15883,Clutch Kit (Disc+Pressure Plate+Bearing),1,1
15895,Lower Arm Set,1,1
15895,Front Brake pad,1,1
15895,Front Brake Disc,1,1
15895,Clutch Kit (Disc+Pressure Plate+Bearing),1,1
15895,Oil Filter,1,1
16001,Mirror Assy Right,1,1
