PurchaseOrderId,product,purchase_count
15798,Maruti Suzuki_Eeco_Engine Oil - Taxi Special - 5W30 (4L),1
15798,Maruti Suzuki_Eeco_Coolant (Green),1
15798,Maruti Suzuki_Eeco_Brake Oil,1
15799,Maruti Suzuki_Eeco_Oil Filter,1
15799,Maruti Suzuki_Eeco_Air Filter,1
15799,Maruti Suzuki_Eeco_CV Joint,1
15799,Maruti Suzuki_Eeco_Caliper Pin 18%,1
15799,Maruti Suzuki_Eeco_Spark Plug Set Of 4,1
15799,Maruti Suzuki_Eeco_Front Brake pad,1
15799,Maruti Suzuki_Eeco_Front Brake Disc,1
15799,Maruti Suzuki_Eeco_Gear Oil,1
15799,Maruti Suzuki_Eeco_Front Wheel Bearing,1
15799,Maruti Suzuki_Eeco_Tail Lamp Right,1
15822,Maruti Suzuki_Swift_Wind Shield - Front,1
15822,Maruti Suzuki_Swift_AC Condenser,1
15822,Maruti Suzuki_Swift_Splash Guard Front Bumper,1
15822,"Maruti Suzuki_Swift_Bracket, Radiator Support Lower",1
15822,Maruti Suzuki_Swift_Radiator Assembly,1
15823,Tata_Nano_Bumper - Front,1
15823,Tata_Nano_Front Fog Lamp Right,1
15823,Tata_Nano_Fan Assembly,1
15823,Tata_Nano_AC Condenser,1
15823,Tata_Nano_Radiator Assembly,1
15843,Nissan_Micra_Bumper - Rear,1
15843,Nissan_Micra_Bumper - Front,1
15843,Nissan_Micra_Rear Bumper Bracket Right,1
15843,Nissan_Micra_Rear Bumper Bracket Left,1
15843,Nissan_Micra_Front Bumper Bracket Right,1
15843,Nissan_Micra_Front Bumper Bracket Left,1
15843,Nissan_Micra_Fender Liner - L/H Front,1
15843,Nissan_Micra_Fender Liner - R/H Front,1
15820,Tata_Tiago_Bumper - Front,1
15820,Tata_Tiago_Bumper Lower Grill,1
15820,Tata_Tiago_Splash Guard Front Bumper,1
15819,Maruti Suzuki_Celerio_Clutch Release Bearing,1
15819,Maruti Suzuki_Celerio_Clutch Kit (Disc+Pressure Plate),1
15819,Maruti Suzuki_Celerio_Fly Wheel,1
15865,Maruti Suzuki_Celerio_Bonnet,1
15865,Maruti Suzuki_Celerio_Head Lamp - R/H,1
15865,Maruti Suzuki_Celerio_Wiper Tank,1
15828,Hyundai_Elite i20_Oil Filter,1
15828,Hyundai_Elite i20_Air Filter,1
15828,Hyundai_Elite i20_AC Filter,1
15828,Hyundai_Elite i20_Rear Brake Shoe,1
15845,Hyundai_Accent_Oil Filter,1
15845,Hyundai_Accent_Air Filter,1
15845,Hyundai_Accent_Bulb,1
15846,Hyundai_Accent_Oil Filter,1
15846,Hyundai_Accent_Air Filter,1
15846,Hyundai_Accent_Bulb,1
15840,Maruti Suzuki_Swift_Bumper - Front,1
15840,Maruti Suzuki_Swift_Front Bumper Bracket Right,1
15840,Maruti Suzuki_Swift_Front Bumper Bracket Left,1
15847,Tata_Manza_Mirror Assy Right,1
15847,Tata_Manza_Bonnet Patti,1
15847,Tata_Manza_Oil Filter,1
15847,Tata_Manza_Air Filter,1
15847,Tata_Manza_AC Filter,1
15858,Honda_Amaze_Front Suspension Strut Left/Right,1
15858,Honda_Amaze_Front Suspension Strut Mount Right,1
15858,Honda_Amaze_Front Suspension Strut Mount Left,1
15858,Honda_Amaze_Lower Arm Lefts,1
15858,Honda_Amaze_Lower Arm Rights,1
15858,Honda_Amaze_Link Rod,1
15858,Honda_Amaze_Tie Rod End Left/Right,1
15858,Honda_Amaze_Stabilizer Bar Bushes,1
15858,Honda_Amaze_Wheel Brake Cylinder - L/H Rear,1
15858,Honda_Amaze_Wheel Brake Cylinder - R/H Rear,1
15858,Honda_Amaze_Drive Shaft Right,1
15858,Honda_Amaze_Drive Shaft Left,1
15850,Maruti Suzuki_800_Timing Belt,1
15850,Maruti Suzuki_800_Tensioner Adjuster,1
15850,Maruti Suzuki_800_Front Brake pad,1
15854,Maruti Suzuki_Swift Dzire_Bumper - Front,1
15854,"Maruti Suzuki_Swift Dzire_Holder, Front Bumper Left",1
15854,"Maruti Suzuki_Swift Dzire_Holder, Front Bumper Right",1
15854,Maruti Suzuki_Swift Dzire_Bonnet,1
15856,Maruti Suzuki_Swift_Bonnet,1
15856,Maruti Suzuki_Swift_Fender - L/H Front,1
15856,Maruti Suzuki_Swift_Fender - R/H Front,1
15856,Maruti Suzuki_Swift_Bumper - Front,1
15856,Maruti Suzuki_Swift_Bumper - Rear,1
15856,Maruti Suzuki_Swift_Fender Liner - L/H Front,1
15856,Maruti Suzuki_Swift_Fender Liner - R/H Front,1
15966,Mahindra_XUV500_Mud Flap,1
15966,Mahindra_XUV500_Rear Wheel Arch Cladding Left,1
